type,plaintext,ciphertext
Hill,amzrojtxmyddhdobddcosehobknhuphgorcpggwzshapqdepaiolabpcylakxcvdnkfqpntsdbktjhbavmai,uiljcrvzosfjfbgdfjgoyktevwdjmjxqyfmtksudqzmxsjmpwoobgfzgohiyzqfzvyfsnjratzkxdrnyhswo
Caesar,sfqrvjmqstzcgjvktpihaahrxnxwnjlxderpbsoaktdbxtswjlbnczmdaxokhpkfatween,tgrswknrtuadhkwluqjibbisyoyxokmyefsqctpbluecyutxkmcodanebypliqlgbuxffo
Columnar,hpqgqnzyqbjvkmbhhqzysglfnqukwisgqebaybczljxowcnvxrxjhzgchplncessqqaovdnaqlvazvv,zblscngsnvpbqqejrpqlqkswywhcvznmgibczedvyhfgzvcsaxhqhnqlxhqqgvykaojnoaqjzubxxlav
Hill,yhvziqlwusisdvmozayiqsenznimrjjqalywxicyimdntihiiwnzgbuxutkkqhpiwpdrqubgyxisrpppnxmzfvtmwmrrmr,wrfzauniigeyrfgkriygymkhrvsmpzjmwjaipoogsmbpfubmmglletsdkvgscdvauxjxcqvecxeybljbhhctjpncoefpmd
Hill,wsmenzbsmtvkxihqagrrrunqxiytnywnjvtsbhuuzwahzmnhahnqm,ikqepdsvzywlelijoinputurelxoetfmpbctbpakgpzsatzfzsurrm
Hill,otexhuvrfjzeyhrpkyzxfbgabhuiawhyskartyteivdmtxnixrdtbnejcckocwokvqbvh,zstgfnqjkrffhwilmoklmjquctioowrraszexfplpafjurlvehaduzdsuaiecuywnvshod
Columnar,ucydntaynhdajtiosyajouynsgdatvprxsuxloecxxykghasc,dyaojnarxcksxyadiaydpueyaxcthtyugvsoxhxunnjsostxlxgc
Columnar,sihpmqbasmuwqspawxutzeqwrbcjgwjoojybcdkxqxinwytggrtczzcpziooglqttbwqffmeuezdy,aawoxgptexbpqjktcqmxqsewdyzlfxhuucyitowzpwtjbncoqdsswroqgztuimxbjxribemqzgcwzgfy
Vigenere,kfoqfllsfrapamhqpylponccnwpyfdegmyamhoqmzttqiqqsjqpwqispxbglkilgafgrtffhtkejulvpylnpw,nyzvvdspikluqeonsrwuefjzqpadvvldprlrxgxjcmevyixpmjabgazmaurqaasddyrwjxmewdpokdcmbeyum
Caesar,mnekndukcaftmmarcoznrppdhxoahoxsegwveibllmhheeridrbivvwxlima,klcilbsiaydrkkypamxlpnnbfvmyfmvqceutcgzjjkffccpgbpzgttuvjgky
Hill,xhjjvcsvcxsursvafardnrbllteyufccicrbzjocmtjquxnijmnwnhcgrxpeydwnmulltyeebyvnnaxl,fejmlfkdydekxhztbhlilyjshcueitcuyszwhyuqctzpmxjjbrppdqasbybtcxuximlgxzeojfzgnndc
Vigenere,bbsctjrbbtitklbseqsbgkhagimavnqidkyvohiqukr,kbajlsrjilrtsstbeyztpkphyrmicfzilrqeoppidkz
Caesar,xmykpxxfuprbjjsmezjbodopweqsqfzupkaennfnwahdhqojmvvynvmfhuestfuwajivlpprqxxzksbxukhlgrwfddlhxfru,shtfkssapkmweenhzuewjyjkrzlnlaupkfvziiairvcycljehqqtiqhacpznoaprvedqgkkmlssufnwspfcgbmrayygcsamp
Caesar,xthvixqugtbfmcmwrhhdjorydkqnbgggyvsxlpbwtavnwcyziciliozuqejwen,njxlyngkwjrvcscmhxxtzehotagdrwwwolinbfrmjqldmsopysybyepkguzmud
Columnar,ecziglpxsttihdeseslndugaeygldkfwlbfeostoh,xsawoxpegftxztlgfxghddoxlduksxiinlexctsybxeseelh
Caesar,qjmzzcrufczsncqmlvwibrgczvdfuxlodrlqvlcrupbhtmzsuexidnybytftajpuefeljdkaskieaqbb,xqtggjybmjgzujxtscdpiynjgckmbesvkysxcsjybwioatgzblepkufifamahqwblmlsqkrhzrplhxii
Caesar,uvrojrmwescdxqfuolutmgdjiufgtxusugpklumnmkhjgutxmrkidjtvidbzeanttkhhvlewzmrgzvjceoqyphik,qrnkfnisaoyztmbqkhqpiczfeqbcptqoqclghqijigdfcqptingezfprezxvawjppgddrhasvincvrfyakmuldeg
Hill,ijcxnklgvjbopsbqcfphokynuitgigqouqfqrvvymlpkhmbwsdetpdzzyxgwnxpbdjjiopufse,dopoktotdbkpklmlxyzhgkvsgmizauckowwbfnsxpacbkrszjodevpdlfyygxtttxhyhladskm
Caesar,mozivnnvwapnfzbqshadldcuyldqvvagfgptpggcvhffidptfbmgpyaptbvvfxunenumkerwikgpyuqyluiygmmixkuxmcs,egranffnoshfxrtikzsvdvumqdvinnsyxyhlhyyunzxxavhlxteyhqshltnnxpmfwfmecwjoacyhqmiqdmaqyeeapcmpeuk
Hill,nsaefisqukgzpvithslabveefjzakyhsaabxakkvrzlwlwebjvgvgalqswmgeccvjbyrhfoipuimoxfyarbpytchktyuq,xwiczeciesbterddhwzakrkcoltaomhwaaofusvratryryrhortrqafioysqgorrahhpujkepkcgbffmvpybldpxrdakpf
Columnar,piuzffzahywcdsmurblcnmvpvrysuyhmuascrttwdxtlsigh,fdnursaupmwhiybraxzccscluwlystzmvhtgfsmytiphrvud
Hill,pkfusrfplidgbocclimdodctaspjentrxsvnlghbghpunocsdmeavqlcwewawqzfss,ypwfhfxsoledsbkcolpzpbrpmatcnrhgmxnielfujtwpsnmcidaecvkluwawcwzmms
Columnar,ulcgievouxsgpufezayqticyvsvivwanbdcpqg,ggqipiptvqvfcaxlxasdeuiwgoeynxuuzvbcsyvc
